Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
9LZgldGZx_M,Estoy cansado jefe #memes   #humor  #funnymemesvideos,"Jan 19, 2025",8,598,2.2231,2,506,1.58
j5z-LpZNTQg,ya valio v3rg@  #leagueoflegends   #lol  #gaming  #memes #internetmemes #humor #comedia #memescortos,"Sep 19, 2024",7,596,1.7737,0,129,2.33
GW5b9Z0BgDA,No dejan jugar a gusto con sus pings  #leagueoflegends   #lol  #gaming  #memes  #humor  #funnymemes,"Aug 28, 2024",8,587,1.8879,1,261,1.53
UCsBK3h2Igk,la top espeshal   #lol #leagueoflegends #bronce #humor,"Apr 13, 2024",40,570,3.5512,3,356,1.4
guLQ7HWWbtc,Al fin dobby es un elfo libre xd,"Jan 18, 2025",27,557,1.8637,1,77,2.6
STJ9vV8ArrE,Como que el problema soy yo  #leagueoflegends   #lol  #gaming  #memes  #humor  #funnymemes,"Aug 14, 2024",11,547,1.5126,0,218,0.92
plXsvLoDJ_o,No entiendo porque ya no quieren jugar conmigo   #memes   #humor  #funnymemesvideos,"Feb 23, 2025",16,538,1.3061,0,96,5.21
UAjJb5Yd7zg,Fak  #leagueoflegends   #lol  #gaming  #memes  #humor  #funnymemesvideos,"Nov 17, 2024",10,534,2.076,1,79,1.27
EhVC7XCBhhg,y todo tu team fedeando jajajaja  #leagueoflegends   #lol  #gaming  #memes  #humor,"Sep 7, 2024",13,532,4.6568,1,89,2.25
mpZl7YWKT4o,Osea yo #leagueoflegends  #lol  #gaming  #humor  #memes  #xd #games #lan #funnymemes,"Jul 24, 2024",9,531,1.6091,0,487,0.82
daHdRqtaAhM,Mientras tanto mi jungla #leagueoflegends   #lol  #gaming  #memes  #humor,"Oct 23, 2024",13,529,1.7618,0,137,2.19
iDTvGNxOprk,Ching@ tu madr3 goooool  #leagueoflegends   #lol  #gaming  #memes  #humor  #funnymemesvideos,"Sep 25, 2024",5,528,1.4886,0,154,0.65
C9oAzQKaifA,Creo que necesito buscar ayuda xd #memes   #humor  #funnymemesvideos,"Jan 25, 2025",6,526,1.3928,0,93,2.15
6ByZ-CuHgGE,Yo como siempre motivando a mi equipo  #leagueoflegends  #lol  #gaming  #humor  #memes  #xd #games,"Jun 29, 2024",9,520,1.4896,0,189,3.17
WrChOSGsXWI,Etiqueten a su puchurrunguito  #leagueoflegends   #lol  #gaming  #memes  #humor  #funnymemesvideos,"Oct 9, 2024",7,513,1.7448,1,81,3.7
